vendorKey,company,website,domain,primaryType,genericEmails,allEmails,phoneNumbers,linkedinUrls,contactPageUrls,titleSnippets,confidence,pagesScannedCount,bestFor,recommendedRole
legal:11:Pinsent Masons,Pinsent Masons,https://www.pinsentmasons.com,pinsentmasons.com,Legal,,,+44 20 7667 7294 | +27 10 493 4600 | +61 3 9909 2500 | +61 8 6500 2300 | +61 2 8024 2800 | +86 10 8519 0011 | +852 2521 5621 | +8621 6321 1166 | +86 755 6123 5666 | +65 6305 0929 | +33 1 53 53 02 80 | +49 211 88271 500 | +49 69 5060 26000 | +49 89 203043 500 | +353 1 553 8600 | +352 40 49 60 1 | +31 20 7977700 | +34 91 048 4000 | +974 4426 9200 | +966 11 260 4900 | +971 4 373 9700 | +44 (0)121 200 1050 | +44 (0)113 244 5000 | +44 (0) 20 7418 7000 | +44 (0)161 234 8234 | +44 (0) 28 9089 4800 | +44 (0)1224 377 900 | +44 (0)131 777 7000 | +44 (0)141 567 8400,https://www.linkedin.com/company/pinsent-masons,,,medium,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:12:CMS,CMS,https://cms.law,cms.law,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:13:DELACOUR,DELACOUR,https://www.delacour.dk,delacour.dk,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:14:Eversheds Sutherland,Eversheds Sutherland,https://www.eversheds-sutherland.com,eversheds-sutherland.com,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:15:Fieldfisher,Fieldfisher,https://www.fieldfisher.com,fieldfisher.com,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:16:Osborne Clarke,Osborne Clarke,https://www.osborneclarke.com,osborneclarke.com,Legal,,,,https://www.linkedin.com/company/osborne-clarke/ | https://www.linkedin.com/company/osborne-clarke,,,low,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:17:Simmons & Simmons,Simmons & Simmons,https://www.simmons-simmons.com,simmons-simmons.com,Legal,,,,,,,low,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:18:Addleshaw Goddard,Addleshaw Goddard,https://www.addleshawgoddard.com,addleshawgoddard.com,Legal,,,+44 (0)20 7606 8855 | +44 (0)20 7606 4390 | +44 (0)113 209 2000 | +44 (0)113 209 2060 | +44 (0)161 934 6000 | +44 (0)161 934 6060 | +44 (0) 1224 965 400 | +44 (0) 1224 444 061 | +44 (0)131 228 2400 | +44 (0) 141 221 2300 | +49 40809 031 9040 | +49 40809 031 9150 | +974 4019 0300 | +971 4458 1819 | +971 4 350 6400 | +971 4 354 4944 | +968 2495 0700 | +968 2464 9044 | +65 6808 6230 | +65 6808 6231,https://www.linkedin.com/company/17940?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A17940%2Cidx%3A4-1-9%2CtarId%3A1457697533564%2Ctas%3Aaddles,,,medium,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
"legal:19:Holst, Advokater","Holst, Advokater",https://www.holst-law.com,holst-law.com,Legal,info@holst-law.com,info@holst-law.com,+45 8934 0000 | +45 8934 0001 | +4589340000,https://dk.linkedin.com/company/holst-advokater,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:20:HjulmandKaptain,HjulmandKaptain,https://www.hjulmandkaptain.dk,hjulmandkaptain.dk,Legal,,mail@70151000.dk,15.00 - 18.00 | +45 7015 1000,https://www.linkedin.com/company/63404,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:21:Roesgaard Advokater,Roesgaard Advokater,https://roesgaard.dk,roesgaard.dk,Legal,,sr@roesgaard.dk | jr@roesgaard.dk | pen@roesgaard.dk | jk@roesgaard.dk | dkh@roesgaard.dk | pf@roesgaard.dk | fn@roesgaard.dk | mmo@roesgaard.dk | akn@roesgaard.dk | pag@roesgaard.dk | cgn@roesgaard.dk | pno@roesgaard.dk | ank@roesgaard.dk | cbs@roesgaard.dk | phw@roesgaard.dk | mom@roesgaard.dk | mail@roesgaard.dk,29 21 42 79 | 21 48 87 09 | 21 69 08 21 | 42 14 74 37 | 30 93 68 92 | 29 21 44 73 | 42 14 74 28 | 42 14 74 36 | 22 33 50 24 | 40 94 08 00 | 51 54 16 97 | 41 77 47 65 | 51 29 28 50 | 24 83 99 41 | 23 70 65 66 | 30 93 53 00 | +45 75 62 99 99 | 37 54 31 28 | +4529214279 | +4521488709 | +4521690821 | +4542147437 | +4530936892 | +4529214473 | +4542147428 | +4542147436 | +4522335024 | +4540940800 | +4551541697 | +4541774765 | +4551292850 | +4524839941 | +4523706566 | +4530935300 | +4575629999,https://www.linkedin.com/company/roesgaardpartners/,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, med fokus på kontrakter og leverandørforhold, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:22:TVC Advokatfirma,TVC Advokatfirma,https://www.tvc.dk,tvc.dk,Legal,,tvc@tvc.dk,7011 0800 | 45 7011 0800 | 3422 7004 | 45 70 11 08 00,,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:23:Accura,Accura,https://accura.dk,accura.dk,Legal,,,,https://www.linkedin.com/company/accura-advokatpartnerselskab/,,,low,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:24:Andersen Partners,Andersen Partners,https://andersen-partners.dk,andersen-partners.dk,Legal,,ahp@andersen-partners.dk | ayd@andersen-partners.dk | jbj@andersen-partners.dk | cgu@andersen-partners.dk | mrs@andersen-partners.dk | mka@andersen-partners.dk | cao@andersen-partners.dk | hco@andersen-partners.dk | ikn@andersen-partners.dk | jbr@andersen-partners.dk | jst@andersen-partners.dk | kcr@andersen-partners.dk | krl@andersen-partners.dk | lra@andersen-partners.dk | hrl@andersen-partners.dk | lar@andersen-partners.dk | jdh@andersen-partners.dk | lpa@andersen-partners.dk | llv@andersen-partners.dk | mfi@andersen-partners.dk | ngr@andersen-partners.dk | swi@andersen-partners.dk | swj@andersen-partners.dk | son@andersen-partners.dk | mfp@andersen-partners.dk | pem@andersen-partners.dk | pst@andersen-partners.dk | rsb@andersen-partners.dk | dan@andersen-partners.dk | dom@andersen-partners.dk | hha@andersen-partners.dk | hfr@andersen-partners.dk | ilh@andersen-partners.dk | jls@andersen-partners.dk | jfj@andersen-partners.dk | jln@andersen-partners.dk | mbe@andersen-partners.dk | mhr@andersen-partners.dk | sjh@andersen-partners.dk | ska@andersen-partners.dk | sra@andersen-partners.dk | tsc@andersen-partners.dk | wls@andersen-partners.dk | ssh@andersen-partners.dk | uch@andersen-partners.dk | sas@andersen-partners.dk | bos@andersen-partners.dk | mra@andersen-partners.dk | mom@andersen-partners.dk | bha@andersen-partners.dk | mhj@andersen-partners.dk | nhp@andersen-partners.dk | lik@andersen-partners.dk | lns@andersen-partners.dk | lsk@andersen-partners.dk | bjs@andersen-partners.dk | lla@andersen-partners.dk | mal@andersen-partners.dk | thb@andersen-partners.dk | sol@andersen-partners.dk | sle@andersen-partners.dk | cea@andersen-partners.dk | jdp@andersen-partners.dk | pdj@andersen-partners.dk | kkr@andersen-partners.dk | ofj@andersen-partners.dk | dpp@andersen-partners.dk | sop@andersen-partners.dk | gbe@andersen-partners.dk | sbi@andersen-partners.dk | aot@andersen-partners.dk | sju@andersen-partners.dk | evm@andersen-partners.dk | phs@andersen-partners.dk | slo@andersen-partners.dk | tsn@andersen-partners.dk | crp@andersen-partners.dk | jan@andersen-partners.dk | nic@andersen-partners.dk | sbd@andersen-partners.dk | sld@andersen-partners.dk | anr@andersen-partners.dk | rmp@andersen-partners.dk | chk@andersen-partners.dk | mmk@andersen-partners.dk | jfe@andersen-partners.dk | ime@andersen-partners.dk | tmo@andersen-partners.dk | sim@andersen-partners.dk | mme@andersen-partners.dk | akj@andersen-partners.dk | alr@andersen-partners.dk | els@andersen-partners.dk | srn@andersen-partners.dk | kad@andersen-partners.dk | msn@andersen-partners.dk | doa@andersen-partners.dk | ala@andersen-partners.dk | mib@andersen-partners.dk | kmr@andersen-partners.dk | cpe@andersen-partners.dk | slj@andersen-partners.dk | jmi@andersen-partners.dk | mail@andersen-partners.dk,,https://dk.linkedin.com/company/andersen-partners,,Andersen Partners - Advokater i Kolding,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:25:Bech-Bruun,Bech-Bruun,https://www.bechbruun.com,bechbruun.com,Legal,info@bechbruun.com,info@bechbruun.com,+45 7227 0000 | +45 7227 0027,https://www.linkedin.com/company/bech-bruun/ | https://www.linkedin.com/company/bech-bruun/\,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:26:Bird & Bird Denmark,Bird & Bird Denmark,https://www.twobirds.com,twobirds.com,Legal,,,,https://www.linkedin.com/company/318488,,"Rules, pitfalls and practical strategies Online Germany More Events 22 Apr Commercial Courts",medium,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:27:Bruun & Hjejle,Bruun & Hjejle,https://www.bruunhjejle.dk,bruunhjejle.dk,Legal,,,+45 33 34 50 00 | 37 97 51 92 | +4533345000,https://www.linkedin.com/company/278757 | https://www.linkedin.com/company/bruun-&-hjejle/posts/?feedView=all,,,medium,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:28:Codex Advokater,Codex Advokater,https://codexlaw.dk,codexlaw.dk,Legal,,,+45 4042 4009 | +45 2131 5403 | +45 7643 5361 | +45 2142 1252 | +45 2529 0848 | 34 88 97 91 | +45 7572 4100 | +4540424009 | +4521315403 | +4576435361 | +4521421252 | +4525290848 | +4575724100,https://www.linkedin.com/company/codex-advokater,,,medium,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:29:DAHL Advokatpartnerselskab,DAHL Advokatpartnerselskab,https://www.dahllaw.dk,dahllaw.dk,Legal,,,,,,HortenDahl Advokatpartnerselskab,medium,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:30:DANDERS & MORE,DANDERS & MORE,https://dandersmore.com,dandersmore.com,Legal,info@dandersmore.com,info@dandersmore.com | cab@dandersmore.com | pn@dandersmore.com | mlp@dandersmore.com | ldn@dandersmore.com | sab@dandersmore.com | avw@dandersmore.com,+45 40 11 91 21 | +45 20 11 89 10 | +45 51 92 90 09 | +45 26 24 56 26 | +45 60 11 74 04 | +45 81 88 53 86 | +45 33 12 95 12 | +4533129512,https://www.linkedin.com/company/danders-&#038;-more/,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:31:DLA Piper Denmark,DLA Piper Denmark,https://www.dlapiper.com/en/denmark,dlapiper.com,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:32:Elmann,Elmann,https://elmann.dk,elmann.dk,Legal,info@elmann.dk,info@elmann.dk,+45) 3337 6330 | +4533376330,https://www.linkedin.com/company/elmann-advokatpartnerselskab,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:33:Gorrissen Federspiel,Gorrissen Federspiel,https://gorrissenfederspiel.com,gorrissenfederspiel.com,Legal,contact@gorrissenfederspiel.com,contact@gorrissenfederspiel.com | 7182e4c87b2783893f679f0fd1223dbd@sentry.abtion.com,+45 33 41 41 41 | +45 86 20 75 00 | 38 05 24 97 | +4533414141 | +4586207500,,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:34:Kielberg Advokater,Kielberg Advokater,https://kielberg.com,kielberg.com,Legal,,kielberg@kielberg.com,63 13 44 44 | 19 08 50 82 | +45 63 13 44 44 | +4563134444,https://www.linkedin.com/company/1314471/,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:35:Kromann Reumert,Kromann Reumert,https://kromannreumert.com,kromannreumert.com,Legal,,mail@kromannreumert.com,08.30 -15.00 | 09.00 - 09.45 | 14.00 - 17.00 | 09.00 - 11.00 | +45 7012 1211 | +44 207 920 3030 | 46 03 81 50,https://linkedin.com/company/kromann-reumert,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:36:Lund Elmer Sandager,Lund Elmer Sandager,https://www.les.dk,les.dk,Legal,info@les.dk,info@les.dk,39 - 41 1560 | +45 33 300 200,https://www.linkedin.com/company/lundelmersandager/,,,high,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:37:Magnusson Denmark,Magnusson Denmark,https://www.magnussonlaw.com,magnussonlaw.com,Legal,,,1000 2025,https://www.linkedin.com/company/magnusson,,,medium,1,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
legal:38:Mazanti-Andersen,Mazanti-Andersen,https://www.mazanti.dk,mazanti.dk,Legal,,,,,,,none,0,"Juridisk rådgivning om NIS2, cybersikkerhed og regulatoriske krav, samt databeskyttelse og informationsforvaltning, primært til mellemstore og større organisationer, med fokus på kritiske og regulerede sektorer","Brug denne profil når scope, kontrakter, ledelsesansvar, myndighedsrapportering eller fortolkning af NIS2, CER eller CRA er den primære udfordring."
